,number_in_workforce,%_workers_less_than_15_to_work,%_workers_15_to_45_to_work,%_workers_greater_than_45_to_work,county,state,state_FIPS,county_fips
"Adams County, Wisconsin: Summary level: 050, state:55> county:001",6909,0.267042987,0.561296859,0.171660153,Adams,WI,55,55001
"Bayfield County, Wisconsin: Summary level: 050, state:55> county:007",6425,0.37463035,0.483579767,0.141789883,Bayfield,WI,55,55007
"Lafayette County, Wisconsin: Summary level: 050, state:55> county:065",7657,0.374298028,0.473423012,0.15227896,Lafayette,WI,55,55065
"Monroe County, Wisconsin: Summary level: 050, state:55> county:081",20426,0.42152159,0.488250269,0.090228141,Monroe,WI,55,55081
"Pierce County, Wisconsin: Summary level: 050, state:55> county:093",22129,0.292421709,0.520403091,0.1871752,Pierce,WI,55,55093
"Wood County, Wisconsin: Summary level: 050, state:55> county:141",34578,0.472178842,0.43628897,0.091532188,Wood,WI,55,55141
"Ashland County, Wisconsin: Summary level: 050, state:55> county:003",6908,0.573682687,0.361320208,0.064997105,Ashland,WI,55,55003
"Calumet County, Wisconsin: Summary level: 050, state:55> county:015",25958,0.351837584,0.581285153,0.066877263,Calumet,WI,55,55015
"Florence County, Wisconsin: Summary level: 050, state:55> county:037",1792,0.395089286,0.53125,0.073660714,Florence,WI,55,55037
"Clark County, Wisconsin: Summary level: 050, state:55> county:019",13581,0.409542744,0.477578971,0.112878286,Clark,WI,55,55019
"Jefferson County, Wisconsin: Summary level: 050, state:55> county:055",43152,0.36102614,0.476316277,0.162657582,Jefferson,WI,55,55055
"Kenosha County, Wisconsin: Summary level: 050, state:55> county:059",80340,0.308414239,0.505962161,0.1856236,Kenosha,WI,55,55059
"Iron County, Wisconsin: Summary level: 050, state:55> county:051",2295,0.471459695,0.421350763,0.107189542,Iron,WI,55,55051
"St. Croix County, Wisconsin: Summary level: 050, state:55> county:109",44968,0.25985145,0.533268102,0.206880448,St. Croix,WI,55,55109
"Oconto County, Wisconsin: Summary level: 050, state:55> county:083",17566,0.294261642,0.561026984,0.144711374,Oconto,WI,55,55083
"Lincoln County, Wisconsin: Summary level: 050, state:55> county:069",13462,0.41650572,0.47890358,0.1045907,Lincoln,WI,55,55069
"Waupaca County, Wisconsin: Summary level: 050, state:55> county:135",24672,0.379661154,0.479288262,0.141050584,Waupaca,WI,55,55135
"Barron County, Wisconsin: Summary level: 050, state:55> county:005",20270,0.44375925,0.447804637,0.108436112,Barron,WI,55,55005
"Sawyer County, Wisconsin: Summary level: 050, state:55> county:113",6733,0.42180306,0.463834843,0.114362097,Sawyer,WI,55,55113
"Green Lake County, Wisconsin: Summary level: 050, state:55> county:047",8433,0.36001423,0.474801376,0.165184395,Green Lake,WI,55,55047
"Marquette County, Wisconsin: Summary level: 050, state:55> county:077",6520,0.262116564,0.492638037,0.245245399,Marquette,WI,55,55077
"Marinette County, Wisconsin: Summary level: 050, state:55> county:075",17759,0.48758376,0.403851568,0.108564671,Marinette,WI,55,55075
"Racine County, Wisconsin: Summary level: 050, state:55> county:101",89563,0.317028237,0.539687148,0.143284615,Racine,WI,55,55101
"Winnebago County, Wisconsin: Summary level: 050, state:55> county:139",83892,0.416094502,0.530741906,0.053163591,Winnebago,WI,55,55139
"Forest County, Wisconsin: Summary level: 050, state:55> county:041",3445,0.496371553,0.4,0.103628447,Forest,WI,55,55041
"Grant County, Wisconsin: Summary level: 050, state:55> county:043",24234,0.446892795,0.447305439,0.105801766,Grant,WI,55,55043
"Rusk County, Wisconsin: Summary level: 050, state:55> county:107",5829,0.408131755,0.44535941,0.146508835,Rusk,WI,55,55107
"Sheboygan County, Wisconsin: Summary level: 050, state:55> county:117",56445,0.470989459,0.455735672,0.073274869,Sheboygan,WI,55,55117
"Langlade County, Wisconsin: Summary level: 050, state:55> county:067",8019,0.490210749,0.365257513,0.144531737,Langlade,WI,55,55067
"Outagamie County, Wisconsin: Summary level: 050, state:55> county:087",94269,0.358166523,0.588443709,0.053389768,Outagamie,WI,55,55087
"Vernon County, Wisconsin: Summary level: 050, state:55> county:123",12360,0.338673139,0.505582524,0.155744337,Vernon,WI,55,55123
"Columbia County, Wisconsin: Summary level: 050, state:55> county:021",28561,0.307202129,0.52764259,0.165155282,Columbia,WI,55,55021
"Kewaunee County, Wisconsin: Summary level: 050, state:55> county:061",9938,0.36757899,0.505634937,0.126786074,Kewaunee,WI,55,55061
"Brown County, Wisconsin: Summary level: 050, state:55> county:009",129163,0.38037983,0.559061031,0.060559138,Brown,WI,55,55009
"Marathon County, Wisconsin: Summary level: 050, state:55> county:073",66601,0.401015,0.540772661,0.058212339,Marathon,WI,55,55073
"Oneida County, Wisconsin: Summary level: 050, state:55> county:085",15714,0.442408044,0.463535701,0.094056256,Oneida,WI,55,55085
"Trempealeau County, Wisconsin: Summary level: 050, state:55> county:121",14015,0.369104531,0.519300749,0.11159472,Trempealeau,WI,55,55121
"Washburn County, Wisconsin: Summary level: 050, state:55> county:129",6392,0.381101377,0.486858573,0.13204005,Washburn,WI,55,55129
"Dodge County, Wisconsin: Summary level: 050, state:55> county:027",42189,0.370854962,0.489298158,0.13984688,Dodge,WI,55,55027
"Walworth County, Wisconsin: Summary level: 050, state:55> county:127",50187,0.361986172,0.464881344,0.173132485,Walworth,WI,55,55127
"Crawford County, Wisconsin: Summary level: 050, state:55> county:023",7076,0.454494064,0.410684002,0.134821933,Crawford,WI,55,55023
"Manitowoc County, Wisconsin: Summary level: 050, state:55> county:071",38573,0.448033599,0.47061416,0.081352241,Manitowoc,WI,55,55071
"Sauk County, Wisconsin: Summary level: 050, state:55> county:111",32189,0.439777564,0.428531486,0.13169095,Sauk,WI,55,55111
"Burnett County, Wisconsin: Summary level: 050, state:55> county:013",6003,0.368815592,0.416625021,0.214559387,Burnett,WI,55,55013
"Chippewa County, Wisconsin: Summary level: 050, state:55> county:017",29288,0.346899754,0.552342256,0.10075799,Chippewa,WI,55,55017
"Door County, Wisconsin: Summary level: 050, state:55> county:029",12364,0.539631187,0.371481721,0.088887092,Door,WI,55,55029
"Douglas County, Wisconsin: Summary level: 050, state:55> county:031",20619,0.360541248,0.532906543,0.106552209,Douglas,WI,55,55031
"Jackson County, Wisconsin: Summary level: 050, state:55> county:053",8552,0.39686623,0.470884004,0.132249766,Jackson,WI,55,55053
"Iowa County, Wisconsin: Summary level: 050, state:55> county:049",11398,0.335146517,0.445955431,0.218898052,Iowa,WI,55,55049
"Ozaukee County, Wisconsin: Summary level: 050, state:55> county:089",43821,0.308870176,0.583533009,0.107596814,Ozaukee,WI,55,55089
"Richland County, Wisconsin: Summary level: 050, state:55> county:103",7763,0.35604792,0.476877496,0.167074585,Richland,WI,55,55103
"Campbell County, Wyoming: Summary level: 050, state:56> county:005",23184,0.49486715,0.377501725,0.127631125,Campbell,WY,56,56005
"Johnson County, Wyoming: Summary level: 050, state:56> county:019",3869,0.58102869,0.237787542,0.181183768,Johnson,WY,56,56019
"Natrona County, Wyoming: Summary level: 050, state:56> county:025",39296,0.472210912,0.482161034,0.045628054,Natrona,WY,56,56025
"Converse County, Wyoming: Summary level: 050, state:56> county:009",6275,0.561912351,0.252430279,0.185657371,Converse,WY,56,56009
"Niobrara County, Wyoming: Summary level: 050, state:56> county:027",911,0.76180022,0.097694841,0.14050494,Niobrara,WY,56,56027
"Teton County, Wyoming: Summary level: 050, state:56> county:039",13079,0.516094503,0.462497133,0.021408365,Teton,WY,56,56039
"Sweetwater County, Wyoming: Summary level: 050, state:56> county:037",21262,0.513545292,0.377104694,0.109350014,Sweetwater,WY,56,56037
"Platte County, Wyoming: Summary level: 050, state:56> county:031",3845,0.676462939,0.223927178,0.099609883,Platte,WY,56,56031
"Park County, Wyoming: Summary level: 050, state:56> county:029",13418,0.645699806,0.283499776,0.070800417,Park,WY,56,56029
"Sheridan County, Wyoming: Summary level: 050, state:56> county:033",13479,0.567920469,0.37806959,0.054009941,Sheridan,WY,56,56033
"Big Horn County, Wyoming: Summary level: 050, state:56> county:003",4787,0.561938584,0.326927094,0.111134322,Big Horn,WY,56,56003
"Crook County, Wyoming: Summary level: 050, state:56> county:011",2914,0.373026767,0.394989705,0.231983528,Crook,WY,56,56011
"Albany County, Wyoming: Summary level: 050, state:56> county:001",19732,0.744678695,0.199523616,0.055797689,Albany,WY,56,56001
"Carbon County, Wyoming: Summary level: 050, state:56> county:007",6963,0.638661496,0.258796496,0.102542008,Carbon,WY,56,56007
"Goshen County, Wyoming: Summary level: 050, state:56> county:015",5832,0.611111111,0.314300412,0.074588477,Goshen,WY,56,56015
"Uinta County, Wyoming: Summary level: 050, state:56> county:041",9211,0.605797416,0.236673543,0.157529041,Uinta,WY,56,56041
"Washakie County, Wyoming: Summary level: 050, state:56> county:043",3584,0.791852679,0.175223214,0.032924107,Washakie,WY,56,56043
"Hot Springs County, Wyoming: Summary level: 050, state:56> county:017",2016,0.630456349,0.240079365,0.129464286,Hot Springs,WY,56,56017
"Fremont County, Wyoming: Summary level: 050, state:56> county:013",16024,0.577758362,0.3417998,0.080441837,Fremont,WY,56,56013
"Sublette County, Wyoming: Summary level: 050, state:56> county:035",4935,0.531104357,0.334751773,0.13414387,Sublette,WY,56,56035
"Weston County, Wyoming: Summary level: 050, state:56> county:045",2936,0.606948229,0.108991826,0.284059946,Weston,WY,56,56045
"Hatillo Municipio, Puerto Rico: Summary level: 050, state:72> county:065",11633,0.147167541,0.714261154,0.138571306,Hatillo,PR,72,72065
"Humacao Municipio, Puerto Rico: Summary level: 050, state:72> county:069",14347,0.207290723,0.629399875,0.163309403,Humacao,PR,72,72069
"Morovis Municipio, Puerto Rico: Summary level: 050, state:72> county:101",8397,0.126473741,0.546028343,0.327497916,Morovis,PR,72,72101
"Mayag�ez Municipio, Puerto Rico: Summary level: 050, state:72> county:097",18171,0.291233284,0.598371031,0.110395685,Mayag�ez,PR,72,72097
"Trujillo Alto Municipio, Puerto Rico: Summary level: 050, state:72> county:139",25236,0.120542083,0.580401014,0.299056903,Trujillo Alto,PR,72,72139
"Quebradillas Municipio, Puerto Rico: Summary level: 050, state:72> county:115",6520,0.252607362,0.559355828,0.18803681,Quebradillas,PR,72,72115
"Moca Municipio, Puerto Rico: Summary level: 050, state:72> county:099",8416,0.266278517,0.579610266,0.154111217,Moca,PR,72,72099
"Culebra Municipio, Puerto Rico: Summary level: 050, state:72> county:049",552,0.809782609,0.173913043,0.016304348,Culebra,PR,72,72049
"Salinas Municipio, Puerto Rico: Summary level: 050, state:72> county:123",7457,0.334048545,0.490948102,0.175003353,Salinas,PR,72,72123
"Barceloneta Municipio, Puerto Rico: Summary level: 050, state:72> county:017",5664,0.260063559,0.559322034,0.180614407,Barceloneta,PR,72,72017
"Yauco Municipio, Puerto Rico: Summary level: 050, state:72> county:153",8298,0.368040492,0.526030369,0.10592914,Yauco,PR,72,72153
"Guaynabo Municipio, Puerto Rico: Summary level: 050, state:72> county:061",33501,0.154950598,0.695829975,0.149219426,Guaynabo,PR,72,72061
"Cabo Rojo Municipio, Puerto Rico: Summary level: 050, state:72> county:023",11363,0.244917715,0.640147848,0.114934436,Cabo Rojo,PR,72,72023
"Fajardo Municipio, Puerto Rico: Summary level: 050, state:72> county:053",8886,0.330857529,0.458248931,0.21089354,Fajardo,PR,72,72053
"Patillas Municipio, Puerto Rico: Summary level: 050, state:72> county:109",3623,0.305271874,0.444383108,0.250345018,Patillas,PR,72,72109
"Rinc�n Municipio, Puerto Rico: Summary level: 050, state:72> county:117",4244,0.439443921,0.473609802,0.086946277,Rinc�n,PR,72,72117
"Aguas Buenas Municipio, Puerto Rico: Summary level: 050, state:72> county:007",7426,0.215728521,0.485591166,0.298680312,Aguas Buenas,PR,72,72007
"Bayam�n Municipio, Puerto Rico: Summary level: 050, state:72> county:021",61424,0.11458062,0.597763089,0.287656291,Bayam�n,PR,72,72021
"Cayey Municipio, Puerto Rico: Summary level: 050, state:72> county:035",13252,0.337986719,0.453818292,0.208194989,Cayey,PR,72,72035
"Maunabo Municipio, Puerto Rico: Summary level: 050, state:72> county:095",2107,0.251542477,0.471286189,0.277171334,Maunabo,PR,72,72095
"Pe�uelas Municipio, Puerto Rico: Summary level: 050, state:72> county:111",5026,0.231197772,0.63350577,0.135296458,Pe�uelas,PR,72,72111
"San Sebasti�n Municipio, Puerto Rico: Summary level: 050, state:72> county:131",8298,0.254880694,0.509520366,0.23559894,San Sebasti�n,PR,72,72131
"Toa Alta Municipio, Puerto Rico: Summary level: 050, state:72> county:135",26077,0.062085363,0.489550178,0.448364459,Toa Alta,PR,72,72135
"Vieques Municipio, Puerto Rico: Summary level: 050, state:72> county:147",2392,0.570652174,0.413043478,0.016304348,Vieques,PR,72,72147
"Yabucoa Municipio, Puerto Rico: Summary level: 050, state:72> county:151",7504,0.193630064,0.572627932,0.233742004,Yabucoa,PR,72,72151
"Caguas Municipio, Puerto Rico: Summary level: 050, state:72> county:025",43426,0.176691383,0.544420393,0.278888224,Caguas,PR,72,72025
"Can�vanas Municipio, Puerto Rico: Summary level: 050, state:72> county:029",13582,0.141658077,0.508393462,0.349948461,Can�vanas,PR,72,72029
"Coamo Municipio, Puerto Rico: Summary level: 050, state:72> county:043",10684,0.299887683,0.540153501,0.159958817,Coamo,PR,72,72043
"Dorado Municipio, Puerto Rico: Summary level: 050, state:72> county:051",11186,0.199535133,0.537904524,0.262560343,Dorado,PR,72,72051
"Barranquitas Municipio, Puerto Rico: Summary level: 050, state:72> county:019",6407,0.207741533,0.507101608,0.28515686,Barranquitas,PR,72,72019
"Orocovis Municipio, Puerto Rico: Summary level: 050, state:72> county:107",4177,0.271247307,0.37634666,0.352406033,Orocovis,PR,72,72107
"A�asco Municipio, Puerto Rico: Summary level: 050, state:72> county:011",8342,0.435267322,0.504435387,0.060297291,A�asco,PR,72,72011
"Ceiba Municipio, Puerto Rico: Summary level: 050, state:72> county:037",3413,0.175798418,0.651919133,0.172282449,Ceiba,PR,72,72037
"Comer�o Municipio, Puerto Rico: Summary level: 050, state:72> county:045",4387,0.194894005,0.370640529,0.434465466,Comer�o,PR,72,72045
"Isabela Municipio, Puerto Rico: Summary level: 050, state:72> county:071",10557,0.299043289,0.551103533,0.149853178,Isabela,PR,72,72071
"Lares Municipio, Puerto Rico: Summary level: 050, state:72> county:081",6303,0.186260511,0.502300492,0.311438997,Lares,PR,72,72081
"Las Piedras Municipio, Puerto Rico: Summary level: 050, state:72> county:085",10071,0.240194618,0.536193029,0.223612352,Las Piedras,PR,72,72085
"San Juan Municipio, Puerto Rico: Summary level: 050, state:72> county:127",122139,0.182259557,0.679979368,0.137761075,San Juan,PR,72,72127
"Vega Alta Municipio, Puerto Rico: Summary level: 050, state:72> county:143",9579,0.139993736,0.564150746,0.295855517,Vega Alta,PR,72,72143
"Maricao Municipio, Puerto Rico: Summary level: 050, state:72> county:093",1301,0.634127594,0.258262875,0.107609531,Maricao,PR,72,72093
"Aibonito Municipio, Puerto Rico: Summary level: 050, state:72> county:009",6287,0.35326865,0.453316367,0.193414983,Aibonito,PR,72,72009
"Juncos Municipio, Puerto Rico: Summary level: 050, state:72> county:077",10554,0.256206178,0.505685048,0.238108774,Juncos,PR,72,72077
"Sabana Grande Municipio, Puerto Rico: Summary level: 050, state:72> county:121",5478,0.267250821,0.595655349,0.13709383,Sabana Grande,PR,72,72121
"Hormigueros Municipio, Puerto Rico: Summary level: 050, state:72> county:067",4606,0.252713851,0.646765089,0.100521059,Hormigueros,PR,72,72067
"Adjuntas Municipio, Puerto Rico: Summary level: 050, state:72> county:001",3683,0.274232962,0.48167255,0.244094488,Adjuntas,PR,72,72001
"Camuy Municipio, Puerto Rico: Summary level: 050, state:72> county:027",8261,0.164144777,0.655610701,0.180244522,Camuy,PR,72,72027
"Gu�nica Municipio, Puerto Rico: Summary level: 050, state:72> county:055",3298,0.412674348,0.496361431,0.090964221,Gu�nica,PR,72,72055
"Manat� Municipio, Puerto Rico: Summary level: 050, state:72> county:091",10928,0.221724012,0.635431918,0.14284407,Manat�,PR,72,72091
"Naguabo Municipio, Puerto Rico: Summary level: 050, state:72> county:103",6754,0.135475274,0.606307373,0.258217353,Naguabo,PR,72,72103
"Naranjito Municipio, Puerto Rico: Summary level: 050, state:72> county:105",7173,0.214275756,0.458525024,0.327199219,Naranjito,PR,72,72105
"San Germ�n Municipio, Puerto Rico: Summary level: 050, state:72> county:125",8034,0.244212099,0.642892706,0.112895195,San Germ�n,PR,72,72125
"Utuado Municipio, Puerto Rico: Summary level: 050, state:72> county:141",6111,0.237440681,0.444280805,0.318278514,Utuado,PR,72,72141
"Arecibo Municipio, Puerto Rico: Summary level: 050, state:72> county:013",21744,0.208747241,0.649466519,0.14178624,Arecibo,PR,72,72013
"Arroyo Municipio, Puerto Rico: Summary level: 050, state:72> county:015",3617,0.250483826,0.664915676,0.084600498,Arroyo,PR,72,72015
"Cata�o Municipio, Puerto Rico: Summary level: 050, state:72> county:033",7455,0.136016097,0.647753186,0.216230718,Cata�o,PR,72,72033
"Florida Municipio, Puerto Rico: Summary level: 050, state:72> county:054",3076,0.229518856,0.703185956,0.067295189,Florida,PR,72,72054
"Monroe County, Alabama: Summary level: 050, state:01> county:099",6134,0.399087056,0.409846756,0.191066188,Monroe,AL,1,1099
"Lawrence County, Alabama: Summary level: 050, state:01> county:079",12117,0.202855492,0.603862342,0.193282166,Lawrence,AL,1,1079
"Lee County, Alabama: Summary level: 050, state:01> county:081",69420,0.312518006,0.583765485,0.103716508,Lee,AL,1,1081
"Pickens County, Alabama: Summary level: 050, state:01> county:107",6597,0.224950735,0.448234046,0.326815219,Pickens,AL,1,1107
"Sumter County, Alabama: Summary level: 050, state:01> county:119",3995,0.38097622,0.452565707,0.166458073,Sumter,AL,1,1119
"Choctaw County, Alabama: Summary level: 050, state:01> county:023",4052,0.223840079,0.513326752,0.262833169,Choctaw,AL,1,1023
"Marengo County, Alabama: Summary level: 050, state:01> county:091",6211,0.383352117,0.440830784,0.175817099,Marengo,AL,1,1091
"Russell County, Alabama: Summary level: 050, state:01> county:113",23679,0.204358292,0.672030069,0.123611639,Russell,AL,1,1113
"Covington County, Alabama: Summary level: 050, state:01> county:039",14473,0.378083328,0.465280177,0.156636496,Covington,AL,1,1039
"Crenshaw County, Alabama: Summary level: 050, state:01> county:041",5325,0.292769953,0.494084507,0.21314554,Crenshaw,AL,1,1041
"Lauderdale County, Alabama: Summary level: 050, state:01> county:077",38815,0.313409764,0.542393405,0.144196831,Lauderdale,AL,1,1077
"Lowndes County, Alabama: Summary level: 050, state:01> county:085",3329,0.134875338,0.659957945,0.205166717,Lowndes,AL,1,1085
"Limestone County, Alabama: Summary level: 050, state:01> county:083",38136,0.230884204,0.610446822,0.158668974,Limestone,AL,1,1083
"St. Clair County, Alabama: Summary level: 050, state:01> county:115",37144,0.183502046,0.588278053,0.228219901,St. Clair,AL,1,1115
"Winston County, Alabama: Summary level: 050, state:01> county:133",8384,0.325858779,0.433325382,0.24081584,Winston,AL,1,1133
"Cullman County, Alabama: Summary level: 050, state:01> county:043",31984,0.331071786,0.444753627,0.224174587,Cullman,AL,1,1043
"Elmore County, Alabama: Summary level: 050, state:01> county:051",32723,0.177673196,0.656266235,0.166060569,Elmore,AL,1,1051
"Jackson County, Alabama: Summary level: 050, state:01> county:071",19313,0.313519391,0.496090716,0.190389893,Jackson,AL,1,1071
"Talladega County, Alabama: Summary level: 050, state:01> county:121",29552,0.326509204,0.499154034,0.174336762,Talladega,AL,1,1121
"Washington County, Alabama: Summary level: 050, state:01> county:129",5317,0.189768667,0.470566109,0.339665225,Washington,AL,1,1129
"Coffee County, Alabama: Summary level: 050, state:01> county:031",21682,0.345862928,0.553961812,0.100175261,Coffee,AL,1,1031
"Morgan County, Alabama: Summary level: 050, state:01> county:103",49755,0.300613004,0.5708572,0.128529796,Morgan,AL,1,1103
"Chilton County, Alabama: Summary level: 050, state:01> county:021",16778,0.20383836,0.448205984,0.347955656,Chilton,AL,1,1021
"Colbert County, Alabama: Summary level: 050, state:01> county:033",21613,0.319344839,0.563040763,0.117614399,Colbert,AL,1,1033
"Dale County, Alabama: Summary level: 050, state:01> county:045",19483,0.347636401,0.569984089,0.08237951,Dale,AL,1,1045
"Etowah County, Alabama: Summary level: 050, state:01> county:055",39673,0.309429587,0.540518741,0.150051672,Etowah,AL,1,1055
"DeKalb County, Alabama: Summary level: 050, state:01> county:049",27527,0.298724888,0.560613216,0.140661896,DeKalb,AL,1,1049
"Lamar County, Alabama: Summary level: 050, state:01> county:075",5234,0.333397019,0.453763852,0.212839129,Lamar,AL,1,1075
"Randolph County, Alabama: Summary level: 050, state:01> county:111",8205,0.295429616,0.477879342,0.226691042,Randolph,AL,1,1111
"Mobile County, Alabama: Summary level: 050, state:01> county:097",164705,0.207838256,0.673416108,0.118745636,Mobile,AL,1,1097
"Walker County, Alabama: Summary level: 050, state:01> county:127",23678,0.273587296,0.487287778,0.239124926,Walker,AL,1,1127
"Cleburne County, Alabama: Summary level: 050, state:01> county:029",5177,0.190650956,0.553795635,0.255553409,Cleburne,AL,1,1029
"Greene County, Alabama: Summary level: 050, state:01> county:063",2122,0.225259189,0.472667295,0.302073516,Greene,AL,1,1063
"Barbour County, Alabama: Summary level: 050, state:01> county:005",8427,0.413789012,0.424824967,0.161386021,Barbour,AL,1,1005
"Bullock County, Alabama: Summary level: 050, state:01> county:011",3832,0.380219207,0.360125261,0.259655532,Bullock,AL,1,1011
"Calhoun County, Alabama: Summary level: 050, state:01> county:015",45708,0.286755054,0.574888422,0.138356524,Calhoun,AL,1,1015
"Clarke County, Alabama: Summary level: 050, state:01> county:025",7455,0.383903421,0.427095909,0.189000671,Clarke,AL,1,1025
"Montgomery County, Alabama: Summary level: 050, state:01> county:101",96165,0.301305049,0.63413924,0.064555712,Montgomery,AL,1,1101
"Marshall County, Alabama: Summary level: 050, state:01> county:095",37481,0.391931912,0.423921454,0.184146634,Marshall,AL,1,1095
"Henry County, Alabama: Summary level: 050, state:01> county:067",6686,0.222105893,0.632067006,0.145827101,Henry,AL,1,1067
"Madison County, Alabama: Summary level: 050, state:01> county:089",164798,0.237836624,0.704941808,0.057221568,Madison,AL,1,1089
"Tallapoosa County, Alabama: Summary level: 050, state:01> county:123",14528,0.298320485,0.513284692,0.188394824,Tallapoosa,AL,1,1123
"Aleutians West Census Area, Alaska: Summary level: 050, state:02> county:016",3814,0.92920818,0.060304143,0.010487677,Aleutians West Census,AK,2,2016
"Wilcox County, Alabama: Summary level: 050, state:01> county:131",2769,0.368725172,0.430480318,0.200794511,Wilcox,AL,1,1131
"Denali Borough, Alaska: Summary level: 050, state:02> county:068",1384,0.621387283,0.306358382,0.072254335,Denali,AK,2,2068
"Kenai Peninsula Borough, Alaska: Summary level: 050, state:02> county:122",22802,0.48881677,0.435093413,0.076089817,Kenai Peninsula,AK,2,2122
"Bristol Bay Borough, Alaska: Summary level: 050, state:02> county:060",461,0.746203905,0.245119306,0.00867679,Bristol Bay,AK,2,2060
"Kodiak Island Borough, Alaska: Summary level: 050, state:02> county:150",6811,0.72045221,0.263103803,0.016443988,Kodiak Island,AK,2,2150
"Northwest Arctic Borough, Alaska: Summary level: 050, state:02> county:188",2427,0.940255459,0.054800165,0.004944376,Northwest Arctic,AK,2,2188
"Bethel Census Area, Alaska: Summary level: 050, state:02> county:050",5624,0.899182077,0.093527738,0.007290185,Bethel Census,AK,2,2050
"North Slope Borough, Alaska: Summary level: 050, state:02> county:185",5294,0.9234983,0.074234983,0.002266717,North Slope,AK,2,2185
"Sitka City and Borough, Alaska: Summary level: 050, state:02> county:220",4525,0.790939227,0.183646409,0.025414365,Sitka City and,AK,2,2220
"Fairbanks North Star Borough, Alaska: Summary level: 050, state:02> county:090",50063,0.3946827,0.557297805,0.048019495,Fairbanks North Star,AK,2,2090
"Ketchikan Gateway Borough, Alaska: Summary level: 050, state:02> county:130",6771,0.551469502,0.428592527,0.019937971,Ketchikan Gateway,AK,2,2130
"Matanuska-Susitna Borough, Alaska: Summary level: 050, state:02> county:170",39476,0.255319688,0.411997163,0.332683149,Matanuska-Susitna,AK,2,2170
"Nome Census Area, Alaska: Summary level: 050, state:02> county:180",3432,0.885780886,0.108974359,0.005244755,Nome Census,AK,2,2180
"Dillingham Census Area, Alaska: Summary level: 050, state:02> county:070",1883,0.841210834,0.14763675,0.011152416,Dillingham Census,AK,2,2070
"Haines Borough, Alaska: Summary level: 050, state:02> county:100",1098,0.918032787,0.068306011,0.013661202,Haines,AK,2,2100
"Yakutat City and Borough, Alaska: Summary level: 050, state:02> county:282",319,0.896551724,0.097178683,0.006269592,Yakutat City and,AK,2,2282
"Juneau City and Borough, Alaska: Summary level: 050, state:02> county:110",16629,0.463587708,0.504780805,0.031631487,Juneau City and,AK,2,2110
"Lake and Peninsula Borough, Alaska: Summary level: 050, state:02> county:164",550,0.938181818,0.027272727,0.034545455,Lake and Peninsula,AK,2,2164
"Southeast Fairbanks Census Area, Alaska: Summary level: 050, state:02> county:240",2433,0.551171393,0.414714344,0.034114262,Southeast Fairbanks Census,AK,2,2240
"Yukon-Koyukuk Census Area, Alaska: Summary level: 050, state:02> county:290",1895,0.883905013,0.089182058,0.026912929,Yukon-Koyukuk Census,AK,2,2290
"Anchorage Municipality, Alaska: Summary level: 050, state:02> county:020",148985,0.384152767,0.563627211,0.052220022,Anchorage,AK,2,2020
"Aleutians East Borough, Alaska: Summary level: 050, state:02> county:013",2150,0.986046512,0.013953488,0,Aleutians East,AK,2,2013
"Skagway Municipality, Alaska: Summary level: 050, state:02> county:230",637,0.945054945,0.039246468,0.015698587,Skagway,AK,2,2230
"Prince of Wales-Hyder Census Area, Alaska: Summary level: 050, state:02> county:198",2521,0.72788576,0.154303848,0.117810393,Prince of Wales-Hyder Census,AK,2,2198
"Petersburg Borough, Alaska: Summary level: 050, state:02> county:195",1453,0.894012388,0.066758431,0.039229181,Petersburg,AK,2,2195
"Kusilvak Census Area, Alaska: Summary level: 050, state:02> county:158",1981,0.926299849,0.063099445,0.010600707,Kusilvak Census,AK,2,2158
"Maricopa County, Arizona: Summary level: 050, state:04> county:013",1845762,0.219224364,0.631647526,0.149128111,Maricopa,AZ,4,4013
"Graham County, Arizona: Summary level: 050, state:04> county:009",11960,0.506605351,0.332943144,0.160451505,Graham,AZ,4,4009
"Santa Cruz County, Arizona: Summary level: 050, state:04> county:023",16376,0.316988276,0.550989253,0.132022472,Santa Cruz,AZ,4,4023
"La Paz County, Arizona: Summary level: 050, state:04> county:012",6005,0.604496253,0.362697752,0.032805995,La Paz,AZ,4,4012
"Mohave County, Arizona: Summary level: 050, state:04> county:015",67215,0.456996206,0.434932679,0.108071115,Mohave,AZ,4,4015
"Coconino County, Arizona: Summary level: 050, state:04> county:005",61971,0.490293847,0.428297107,0.081409046,Coconino,AZ,4,4005
"Yuma County, Arizona: Summary level: 050, state:04> county:027",75586,0.388934459,0.541766994,0.069298547,Yuma,AZ,4,4027
"Greenlee County, Arizona: Summary level: 050, state:04> county:011",3739,0.589194972,0.349558706,0.061246323,Greenlee,AZ,4,4011
"Pinal County, Arizona: Summary level: 050, state:04> county:021",138634,0.241080832,0.484001039,0.27491813,Pinal,AZ,4,4021
"St. Francis County, Arkansas: Summary level: 050, state:05> county:123",8061,0.443865525,0.428358764,0.12777571,St. Francis,AR,5,5123
"White County, Arkansas: Summary level: 050, state:05> county:145",30692,0.379773231,0.445653591,0.174573179,White,AR,5,5145
"Nevada County, Arkansas: Summary level: 050, state:05> county:099",3005,0.210648918,0.58202995,0.207321131,Nevada,AR,5,5099
"Cross County, Arkansas: Summary level: 050, state:05> county:037",7256,0.401598677,0.411797133,0.18660419,Cross,AR,5,5037
"Drew County, Arkansas: Summary level: 050, state:05> county:043",7483,0.449285046,0.40932781,0.141387144,Drew,AR,5,5043
